   ,CDE_SIC_ABI_DC,NME_BUS_ABI,ID_LOCATION_ABI,ADR_PHYS_HSE_NUM_ABI,ADR_PHYS_HSE_ALPHA_ABI,ADR_PHYS_STR_PRFX_ABI,ADR_PHYS_STR_NME_ABI,ADR_PHYS_STR_SUFX1_ABI,ADR_PHYS_STR_SUFX2_ABI,ADR_PHYS_APT_ABI,ADR_PHYS_CITY_ABI,ADR_PHYS_STATE_ABI,ADR_PHYS_ZIP_ABI,ADR_PHYS_ZIP_ABI,CDE_SQ_FOOT_ABI_DC,NUM_PHYS_GEO_LAT_ABI,NUM_PHYS_GEO_LON_ABI
80,AEROBICS                                     ,ATELIER PILATES               ,713418492,7, , ,LANDERS,ST, , ,SOMERVILLE,MA,2143,2143,"1,500 - 2,499  ",42.383288,-71.101862
84,AEROSPACE SUPPORT SERVICES-TECHNICAL         ,MELTON GYRODIGITAL LABS       ,400592327,72, , ,SHARP,ST, , ,HINGHAM,MA,2043,2043,"40,000 - 99,999",42.1626,-70.918525
85,AFFIRMATIVE ACTION                           ,VANDERVORT GROUP LLC          ,416684444,19, , ,DOVE,ST, ,STE 202,ALBANY,NY,12210,12210,"20,000 - 39,999",42.655417,-73.761693
86,AFRICAN GOODS-RETAIL                         ,AFRICAN MARKET                ,203256607,740, ,N,SALINA,ST, , ,SYRACUSE,NY,13208,13208,"1,500 - 2,499  ",43.060976,-76.153802
87,AGATES                                       ,DESIGNS BY FMC                ,633477765,1520, , ,60TH,ST, , ,BROOKLYN,NY,11219,11219,"2,500 - 4,999  ",40.625771,-73.994161
88,AGGREGATES-CONSTRUCTION MATERIALS (WHLS)     ,CALLANAN INDUSTRIES INC       ,8794778,1245, , ,KINGS,RD, ,STE 1,SCHENECTADY,NY,12303,12303,"100,000+       ",42.73721,-73.888556
153,AIRCRAFT UPHOLSTERERS                        ,KEN'S AUTO UPHOLSTERING       ,106369275,105, ,W,HOUSATONIC,ST, , ,PITTSFIELD,MA,1201,1201,"1,500 - 2,499  ",42.444131,-73.260357
158,AIRLINE SUPPORT SERVICES                     ,GARDNER AVIATION SVC          ,106449630,499, , ,AIRPORT,RD, , ,GARDNER,MA,1440,1440,"2,500 - 4,999  ",42.550276,-72.015087
999,AIRLINE SUPPORT SERVICES                     ,SEVEN STARS BAKERY,106449630,499, , ,AIRPORT,RD, , ,GARDNER,MA,2906,1440,"2,500 - 4,999  ",42.550276,-72.015087
